Longitude,Latitude
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-122.257513,37.870026
-122.257475,37.870011
-122.257411,37.869983
-122.257285,37.869971
-122.257181,37.86998
-122.257161,37.870015
-122.257161,37.870056
-122.25718,37.870073
-122.25715,37.870033
-122.257116,37.869965
-122.257121,37.86993
-122.257111,37.869946
-122.257118,37.87006
-122.257164,37.870116
-122.257206,37.87017
-122.257226,37.870221
-122.257251,37.870255
-122.257281,37.870296
-122.257285,37.870353
-122.257286,37.870426
-122.257278,37.870483
-122.257238,37.870571
-122.257305,37.870641
-122.2574,37.87076
-122.25744,37.870805
-122.257446,37.870855
-122.257565,37.870925
-122.257595,37.87098
-122.25761,37.871024
-122.257701,37.871063
-122.257745,37.871083
-122.257764,37.871153
-122.257818,37.871209
-122.257881,37.871465
-122.257851,37.871525
-122.257808,37.871571
-122.257761,37.871618
-122.257733,37.87169
-122.25772,37.871781
-122.257635,37.871816
-122.25756,37.871863
-122.257551,37.8719
-122.257515,37.871969
-122.257536,37.87204
-122.257641,37.872055
-122.257724,37.872078
-122.257771,37.872138
-122.257758,37.872235
-122.257796,37.872315
-122.257818,37.872388
-122.257823,37.872456
-122.257805,37.872533
-122.257831,37.872676
-122.257828,37.872753
-122.257841,37.872831
-122.257881,37.87291
-122.257931,37.872978
-122.257973,37.873046
-122.257994,37.873111
-122.257994,37.873186
-122.258048,37.873323
-122.258098,37.873366
-122.258125,37.873413
-122.25811,37.873451
-122.258104,37.873471
-122.258213,37.87343
-122.258256,37.873398
-122.258233,37.873373
-122.258416,37.873405
-122.258471,37.873463
-122.258498,37.873523
-122.258466,37.873585
-122.258371,37.873691
-122.258283,37.873776
-122.258173,37.873791
-122.25811,37.873828
-122.258029,37.873816
-122.258023,37.873783
-122.25806,37.873796
-122.258028,37.873816
-122.258031,37.87383
-122.258043,37.87384
-122.258061,37.873813
-122.258198,37.87374
-122.258196,37.873735
-122.258224,37.873695
-122.25824,37.87379
-122.258201,37.873785
-122.258211,37.873761
